company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ABB,pro,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ABB,pro,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95
ABB,pro,PRO7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ABB,pro,PRO9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90
ABB,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ABB,pro,PRO12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
ADANIENSOL,pro,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95
ADANIENSOL,pro,PRO5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90
ADANIENSOL,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ADANIENSOL,con,CON1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,95
ADANIENSOL,con,CON3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
ADANIENSOL,con,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90
ADANIENT,pro,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95
ADANIENT,pro,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95
ADANIENT,pro,PRO9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90
ADANIENT,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ADANIGREEN,pro,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95
ADANIGREEN,pro,PRO5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90
ADANIGREEN,con,CON1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,95
ADANIPORTS,pro,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95
ADANIPORTS,pro,PRO5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90
ADANIPORTS,pro,PRO10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ADANIPORTS,pro,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
