company_id,pro_count,con_count,pro_score,con_score,net_score,normalized_score,sentiment,strongest_pro_rule,strongest_pro_text,strongest_pro_confidence,strongest_con_rule,strongest_con_text,strongest_con_confidence
ABB,7,0,620.0,0.0,620.0,88.57,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,,,0.0
ADANIENSOL,3,3,265.0,270.0,-5.0,-0.83,Neutral,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,95.0
ADANIENT,4,0,365.0,0.0,365.0,91.25,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,,,0.0
ADANIGREEN,2,1,185.0,95.0,90.0,30.0,Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,95.0
ADANIPORTS,5,0,430.0,0.0,430.0,86.0,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,,,0.0
ADANIPOWER,6,0,530.0,0.0,530.0,88.33,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,,,0.0
AMBUJACEM,1,0,90.0,0.0,90.0,90.0,Positive,PRO7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0,,,0.0
APOLLOHOSP,4,0,365.0,0.0,365.0,91.25,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,,,0.0
ASIANPAINT,7,1,630.0,85.0,545.0,68.12,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,CON8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
ATGL,2,0,190.0,0.0,190.0,95.0,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,,,0.0
AXISBANK,3,1,275.0,90.0,185.0,46.25,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
BAJAJ-AUTO,4,1,360.0,85.0,275.0,55.0,Strong Positive,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,CON8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
BAJAJFINSV,5,2,460.0,175.0,285.0,40.71,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
BAJAJHLDNG,8,0,700.0,0.0,700.0,87.5,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,,,0.0
BAJFINANCE,5,1,460.0,90.0,370.0,61.67,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
BANKBARODA,5,1,455.0,90.0,365.0,60.83,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
BEL,3,0,265.0,0.0,265.0,88.33,Strong Positive,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,,,0.0
BHARTIARTL,3,1,275.0,95.0,180.0,45.0,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,CON1,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,95.0
BHEL,1,3,80.0,260.0,-180.0,-45.0,Strong Negative,PRO11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
BOSCHLTD,5,0,435.0,0.0,435.0,87.0,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,,,0.0
BPCL,4,0,355.0,0.0,355.0,88.75,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,,,0.0
BRITANNIA,2,0,180.0,0.0,180.0,90.0,Strong Positive,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,,,0.0
CANBK,5,1,455.0,90.0,365.0,60.83,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
CHOLAFIN,5,2,460.0,175.0,285.0,40.71,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
CIPLA,6,0,535.0,0.0,535.0,89.17,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,,,0.0
COALINDIA,6,0,540.0,0.0,540.0,90.0,Strong Positive,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,,,0.0
DABUR,4,1,350.0,85.0,265.0,53.0,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,CON8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
DIVISLAB,4,2,340.0,175.0,165.0,27.5,Strong Positive,PRO5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.0,CON9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,90.0
DLF,4,2,355.0,175.0,180.0,30.0,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
DMART,5,0,450.0,0.0,450.0,90.0,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,,,0.0
DRREDDY,6,0,540.0,0.0,540.0,90.0,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,,,0.0
EICHERMOT,5,1,445.0,85.0,360.0,60.0,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,CON8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
GAIL,2,1,170.0,85.0,85.0,28.33,Positive,PRO7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0,CON8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
GODREJCP,0,1,0.0,98.0,-98.0,-98.0,Negative,,,0.0,CON4,Company reported a net loss in the most recent financial year,98.0
GRASIM,2,3,185.0,265.0,-80.0,-16.0,Negative,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,CON9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,90.0
HAL,6,1,545.0,85.0,460.0,65.71,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,CON8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
HAVELLS,3,0,260.0,0.0,260.0,86.67,Strong Positive,PRO7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0,,,0.0
HCLTECH,5,0,435.0,0.0,435.0,87.0,Strong Positive,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,,,0.0
HDFCBANK,4,2,370.0,185.0,185.0,30.83,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,95.0
HDFCLIFE,5,1,440.0,90.0,350.0,58.33,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
