company_id,sentiment,pro_count,con_count,pro_score,con_score,net_score,normalized_score,strongest_pro_rule,strongest_pro_confidence,strongest_con_rule,strongest_con_confidence,investment_summary
ABB,Strong Positive,7,0,620.0,0.0,620.0,88.57,PRO6,95.0,,0.0,ABB shows a strong positive investment profile with a normalized score of 88.57. The analysis identifies 7 positive signals and 0 negative signals. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value No qualifying negative factor was identified.
ADANIENSOL,Neutral,3,3,265.0,270.0,-5.0,-0.83,PRO4,95.0,CON1,95.0,ADANIENSOL shows a balanced investment profile with a normalized score of -0.83. The analysis identifies 3 positive signals and 3 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring
ADANIENT,Strong Positive,4,0,365.0,0.0,365.0,91.25,PRO4,95.0,,0.0,ADANIENT shows a strong positive investment profile with a normalized score of 91.25. The analysis identifies 4 positive signals and 0 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum No qualifying negative factor was identified.
ADANIGREEN,Positive,2,1,185.0,95.0,90.0,30.0,PRO4,95.0,CON1,95.0,ADANIGREEN shows a positive investment profile with a normalized score of 30.00. The analysis identifies 2 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring
ADANIPORTS,Strong Positive,5,0,430.0,0.0,430.0,86.0,PRO4,95.0,,0.0,ADANIPORTS shows a strong positive investment profile with a normalized score of 86.00. The analysis identifies 5 positive signals and 0 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum No qualifying negative factor was identified.
ADANIPOWER,Strong Positive,6,0,530.0,0.0,530.0,88.33,PRO4,95.0,,0.0,ADANIPOWER shows a strong positive investment profile with a normalized score of 88.33. The analysis identifies 6 positive signals and 0 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum No qualifying negative factor was identified.
AMBUJACEM,Positive,1,0,90.0,0.0,90.0,90.0,PRO7,90.0,,0.0,AMBUJACEM shows a positive investment profile with a normalized score of 90.00. The analysis identifies 1 positive signal and 0 negative signals. Key positive factor: Very high interest coverage ratio reflects negligible financial stress from debt servicing No qualifying negative factor was identified.
APOLLOHOSP,Strong Positive,4,0,365.0,0.0,365.0,91.25,PRO6,95.0,,0.0,APOLLOHOSP shows a strong positive investment profile with a normalized score of 91.25. The analysis identifies 4 positive signals and 0 negative signals. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value No qualifying negative factor was identified.
ASIANPAINT,Strong Positive,7,1,630.0,85.0,545.0,68.12,PRO6,95.0,CON8,85.0,ASIANPAINT shows a strong positive investment profile with a normalized score of 68.12. The analysis identifies 7 positive signals and 1 negative signal. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value Key risk factor: Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
ATGL,Strong Positive,2,0,190.0,0.0,190.0,95.0,PRO4,95.0,,0.0,ATGL shows a strong positive investment profile with a normalized score of 95.00. The analysis identifies 2 positive signals and 0 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum No qualifying negative factor was identified.
